"","INDINF_CPI_M","INDINF_LOWTARGET","INDINF_UPPTARGET","Volume","Monthly_Change","INDINF_CPI_COMMON_M","INDINF_CPI_MEDIAN_M","INDINF_CPI_TRIM_M"
"108",0.006,0.01,0.03,236875970000,0.0784233969977544,0.022,0.02,0.019
"109",0.007,0.01,0.03,198970920000,0.0353770957756798,0.022,0.02,0.019
"110",0.013,0.01,0.03,208693730000,-0.00518962365493247,0.022,0.021,0.02
"111",0.014,0.01,0.03,209199910000,-0.00143819049486826,0.022,0.02,0.02
"112",0.019,0.01,0.03,233742720000,0.0280196399345336,0.022,0.02,0.02
"113",0.017,0.01,0.03,239875570000,-0.0239572181111889,0.022,0.02,0.021
"114",0.011,0.01,0.03,227429490000,-0.000952554230935432,0.021,0.02,0.02
"115",0.012,0.01,0.03,286208280000,-0.0666788565281896,0.021,0.021,0.02
"116",0.021,0.01,0.03,264316150000,-0.0755989963881687,0.021,0.02,0.019
"117",0.025,0.01,0.03,214680060000,0.000999197338226399,0.021,0.022,0.021
"118",0.023,0.01,0.03,245589170000,-0.0652752719298245,0.021,0.022,0.021
"119",0.032,0.01,0.03,300358340000,0.0110672293192331,0.021,0.021,0.021
"120",0.044,0.01,0.03,268531670000,0.0514658985782632,0.02,0.022,0.023
"121",0.038,0.01,0.03,274422610000,0.00671193514211765,0.019,0.022,0.022
"122",0.045,0.01,0.03,288027770000,-0.00680323531635041,0.021,0.022,0.022
"123",0.047,0.01,0.03,195712950000,-0.002191932719385,0.02,0.024,0.023
"124",0.042,0.01,0.03,229297700000,-0.0323107641124537,0.02,0.024,0.022
"125",0.029,0.01,0.03,244635380000,0.0382766541806232,0.018,0.022,0.02
"126",0.028,0.01,0.03,255208810000,0.0415571738855161,0.019,0.022,0.02
"127",0.026,0.01,0.03,259228840000,0.0179743281881388,0.019,0.02,0.019
"128",0.021,0.01,0.03,2.60926e+11,0.0393521215711492,0.019,0.021,0.019
"129",0.02,0.01,0.03,211861940000,0.034775886469645,0.019,0.019,0.017
"130",0.022,0.01,0.03,318000650000,-0.0118769835181033,0.019,0.019,0.018
